qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,frames,length,qcovs,gaps,mismatch,score,evalue,TS_DW vs.TS_Mock-36 log2FoldChange,logFC,Group,description.x
VIT_16s0050g01690,VITMroCarlos_v1.3.g17560,597,594,1,597,1,594,1/1,597,100,3,21,3060,0,0.87859,1.734,red,NA
VIT_00s0258g00010,VITMroCarlos_v1.3.g16166,423,540,1,423,117,540,1/1,425,100,3,17,2130,0,2.8966,1.813,red,tr|F6HWE2|F6HWE2_VITVI Protein kinase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_16s0148g00030 PE=4 SV=1
VIT_00s0424g00020,VITMroCarlos_v1.3.g16166,342,607,1,341,19,363,1/1,347,99,8,42,1538,0,1.1284,1.813,red,tr|F6HWE2|F6HWE2_VITVI Protein kinase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_16s0148g00030 PE=4 SV=1
VIT_00s0424g00030,VITMroCarlos_v1.3.g16166,364,540,6,363,171,529,1/1,359,98,1,25,1773,0,2.8379,1.813,red,tr|F6HWE2|F6HWE2_VITVI Protein kinase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_16s0148g00030 PE=4 SV=1
VIT_08s0032g00300,Vitvi08g00175,302,302,1,302,1,302,1/1,302,100,0,0,1618,0,2.7818,-1.302,saddlebrown,XP_002265214.2 annexin A3
VIT_07s0031g00920,VITMroTrayshed_v2.0.hap1.chr20.ver2.0.g253880,511,511,1,511,1,511,1/1,511,100,0,5,2705,0,0.77101,-2.042,steelblue,inositol-3-phosphate synthase
VIT_18s0001g09730,Vitvi18g02664,781,781,1,781,1,781,1/1,781,100,0,0,4209,0,1.6015,-1.46,steelblue,XP_002283102.1 putative receptor protein kinase ZmPK1
VIT_00s0194g00210,Vitvi10g04100,348,364,1,348,17,364,1/1,348,100,0,0,1824,0,-0.83681,-1.294,steelblue,XP_003635043.2 two-pore potassium channel 1
VIT_10s0092g00570,Vitvi10g01162,934,1040,7,934,98,1040,1/1,943,99,15,1,4900,0,1.133,1.038,steelblue,XP_002272816.2 probable LRR receptor-like serine/threonine-protein kinase At1g56140 isoform X1
VIT_14s0068g00070,VITMroCarlos_v1.3.g09213,600,896,1,599,1,616,1/1,618,99,21,114,2519,0,1.3766,1.096,steelblue,NA
VIT_14s0068g00130,VITMroCarlos_v1.3.g09213,319,896,1,319,578,896,1/1,319,100,0,9,1678,0,0.96575,1.096,steelblue,NA
VIT_14s0068g00110,VITMroCarlos_v1.3.g09217,1226,894,542,1226,211,894,1/1,685,100,1,23,3561,0,0.75621,1.303,steelblue,NA
VIT_11s0016g03590,Vitvi11g00305,1155,1340,1,1155,186,1340,1/1,1155,100,0,0,6173,0,1.0867,1.346,steelblue,XP_010656297.1 putative E3 ubiquitin-protein ligase LIN-1 isoform X1
VIT_12s0055g01280,VITMroTrayshed_v2.0.hap1.chr12.ver2.0.g153360,514,611,1,505,1,507,1/1,507,98,2,67,2202,0,1.6273,-2.882,yellowgreen,BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1-like precursor
VIT_12s0035g00330,Vitvi12g02698,486,486,1,486,1,486,1/1,486,100,0,0,2609,0,2.2906,-2.48,yellowgreen,XP_019079232.1 AAA-ATPase At3g28580-like
VIT_17s0000g07450,VITMroCarlos_v1.3.g25437,396,397,6,396,7,397,1/1,391,99,0,18,2008,0,0.73261,-2.322,yellowgreen,tr|D7SHZ8|D7SHZ8_VITVI GP-PDE domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_17s0000g07450 PE=4 SV=1
VIT_12s0035g00350,Vitvi12g04562,292,472,1,292,181,472,1/1,292,100,0,0,1540,0,1.7139,-1.639,yellowgreen,"RVW75975.1AAA-ATPase ASD, mitochondrial"
VIT_12s0035g00340,Vitvi12g04561,439,477,1,439,39,477,1/1,439,100,0,0,2338,0,0.95709,-1.597,yellowgreen,XP_010658053.1 AAA-ATPase At3g28580-like
VIT_02s0012g02340,Vitvi02g00805,499,499,1,499,1,499,1/1,499,100,0,1,2654,0,2.5728,1.017,yellowgreen,XP_002276561.1 geraniol 8-hydroxylase
VIT_13s0019g04410,VITMroCarlos_v1.3.g09759,467,467,1,467,1,467,1/1,467,100,0,13,2378,0,0.78196,1.14,yellowgreen,tr|D7TM83|D7TM83_VITVI Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Vitis vinifera OX=29760 GN=VIT_13s0019g04410 PE=3 SV=1
VIT_01s0026g00220,Vitvi01g00787,546,539,1,536,1,536,1/1,536,98,0,0,2855,0,0.9878,1.144,yellowgreen,"XP_010653335.1 aldehyde dehydrogenase family 2 member B4, mitochondrial isoform X1"
VIT_06s0061g01070,VITMroCarlos_v1.3.g23911,694,700,1,694,1,700,1/1,701,100,8,48,3262,0,0.91769,1.18,yellowgreen,tr|F6GW65|F6GW65_VITVI Peptidase_M3 domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_06s0061g01070 PE=3 SV=1
VIT_16s0022g00310,Vitvi16g01776,1118,1118,1,1118,1,1118,1/1,1118,100,0,0,5789,0,1.2694,1.355,yellowgreen,XP_010662436.1 LRR receptor-like serine/threonine-protein kinase GSO2 isoform X1
VIT_08s0007g06030,VITMroTrayshed_v2.0.hap1.chr08.ver2.0.g105930,338,357,1,337,1,338,1/1,338,99,1,13,1619,0,1.4923,1.461,yellowgreen,"Glucan endo-1,3-beta- basic isoform"
VIT_00s0357g00080,Vitvi07g02538,487,487,1,487,1,487,1/1,487,100,0,1,2580,0,5.1962,1.483,yellowgreen,"XP_010646884.2  probable glucan 1,3-beta-glucosidase A"
VIT_14s0068g00130,Vitvi14g01380,319,895,1,319,577,895,1/1,319,100,0,0,1718,0,0.96575,1.522,yellowgreen,XP_003633771.2 receptor-like protein kinase FERONIA
VIT_13s0019g04240,VITMroCarlos_v1.3.g09748,562,560,1,562,1,560,1/1,562,100,2,11,2868,0,0.72937,2.673,yellowgreen,NA
VIT_01s0010g00240,VITMroCarlos_v1.3.g10774,644,651,1,642,1,642,1/1,642,99,0,13,3348,0,-0.93492,3.073,yellowgreen,tr|A0A0R0IYM2|A0A0R0IYM2_SOYBN Glutamine amidotransferase type-1 domain-containing protein OS=Glycine max OX=3847 GN=100819563 PE=4 SV=1
VIT_07s0191g00230,VITMroCarlos_v1.3.g14359,373,370,1,373,1,370,1/1,373,100,3,27,1710,0,1.2869,3.534,yellowgreen,NA
VIT_14s0006g00350,VITMroCarlos_v1.3.g09013,357,357,1,357,1,357,1/1,357,100,0,4,1880,0,1.1294,4.047,yellowgreen,NA
VIT_12s0035g00350,VITMroCarlos_v1.3.g00593,292,472,1,292,181,472,1/1,292,100,0,6,1499,0,1.7139,5.057,yellowgreen,tr|F6HK74|F6HK74_VITVI AAA domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_12s0035g00330 PE=4 SV=1
VIT_12s0035g00350,VITMroTrayshed_v2.0.hap1.chr12.ver2.0.g156220,292,474,1,292,183,474,1/1,292,100,0,6,1500,0,1.7139,6.841,yellowgreen,AAA-ATPase mitochondrial-like
VIT_12s0035g01020,VITMroCarlos_v1.3.g00624,377,390,16,377,29,390,1/1,362,96,0,6,1897,0,0.77929,8.756,yellowgreen,sp|P35684|RL3_ORYSJ 60S ribosomal protein L3 OS=Oryza sativa subsp. japonica OX=39947 GN=RPL3 PE=2 SV=2
VIT_14s0128g00790,Vitvi14g00234,870,876,1,870,7,876,1/1,870,100,0,2,4648,0,1.6428,-2.112,darkgreen,XP_010659859.1 probable linoleate 9S-lipoxygenase 5 isoform X1
