PN40024_genotype_ENSMBL_ID	UniProt	GCA_030704535.1_NCBI_ID	Chromosome	Start	End	Transcription_pattern	Athaliana_TAIR10_homolog	homology	TAIR10	Athal.common.NAme	locus_tag
Vitvi10g02097	D7U5A3	VIT_03s0038g01790	10	1214127	1214821	EEE EEE EEE	NP_188620.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]	66.887	NP_188620.1	bHLH121	AT3G19860
Vitvi10g02099	D7SSV4	VIT_00s0256g00100	10	1195340	1195597	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g02101	F6GZ77	VIT_00s0256g00110	10	1181440	1182456	EEE EDE EDE	NP_198430.1 Ankyrin repeat family protein [Arabidopsis thaliana]	34.061	NP_198430.1		AT5G35810
Vitvi10g02102	F6GZ78	VIT_00s0256g00120	10	1178912	1181416	EEE EEE EEE	NP_001325956.1 Ankyrin repeat family protein [Arabidopsis thaliana]	27.273	NP_001325956.1		AT3G18670
Vitvi10g02133	D7T5C7	VIT_00s0353g00020	10	3304785	3307994	EEE EEE EEE	NP_172600.1 S-locus lectin protein kiNAse family protein [Arabidopsis thaliana]	53.837	NP_172600.1		AT1G11330
Vitvi10g02135	F6HCT4	VIT_00s0353g00060	10	3338662	3370510	EEE EEE EEE	NP_001321603.1 S-locus lectin protein kiNAse family protein [Arabidopsis thaliana]	48.367	NP_001321603.1		AT1G61610
Vitvi10g02145	F6HRS6	VIT_00s0286g00080	10	3401346	3401748	EEE EEE EEE	NP_001330854.1 RNA-binding KH domain-containing protein [Arabidopsis thaliana]	35.821	NP_001330854.1		AT5G46190
Vitvi10g02151	F6HRT0	VIT_00s0286g00140	10	3454213	3458297	EEE EEE EEE	NP_172608.3 S-locus lectin protein kiNAse family protein [Arabidopsis thaliana]	53.195	NP_172608.3		AT1G11410
Vitvi10g02164	F6HHT7	VIT_01s0127g00860	10	4076559	4077452	EEE EEE EEE	NP_193864.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]	48.544	NP_193864.1	DYT1	AT4G21330
Vitvi10g02165	F6GZ21	VIT_00s0274g00040	10	4074157	4075308	EEE EEE EEE	NP_566445.1 Tetratricopeptide repeat (TPR)-like superfamily protein [Arabidopsis thaliana]	50.923	NP_566445.1		AT3G13160
Vitvi10g02166	F6I7G2	VIT_00s0271g00070	10	4067653	4068792	EEE EEE EEE	NP_175985.1 Tetratricopeptide repeat (TPR)-like superfamily protein [Arabidopsis thaliana]	44.584	NP_175985.1		AT1G55890
Vitvi10g02176	F6I217	VIT_00s0361g00100	10	3535569	3543454	EEE EEE EEE	NP_176362.3 phosphoinositide binding protein [Arabidopsis thaliana]	49.272	NP_176362.3		AT1G61690
Vitvi10g02177	D7U6H1	VIT_00s0361g00090	10	3546476	3549309	EEE EEE EDE	NP_188849.3 Phototropic-responsive NPH3 family protein [Arabidopsis thaliana]	45.688	NP_188849.3		AT3G22104
Vitvi10g02178	F6I216	VIT_00s0361g00080	10	3551226	3564017	EEE EEE EEE	NP_563891.1 eukaryotic translation initiation factor-like protein [Arabidopsis thaliana]	42.57	NP_563891.1		AT1G11480
Vitvi10g02185	D7U6G6	ANR	10	3631130	3635421	EEE EEE EDE	NP_176365.1 NAD(P)-binding Rossmann-fold superfamily protein [Arabidopsis thaliana]	65.152	NP_176365.1	BAN	AT1G61720
Vitvi10g02187	D7U6G6	ANR	10	3637647	3638548	EEE EEE EEE	NP_176365.1 NAD(P)-binding Rossmann-fold superfamily protein [Arabidopsis thaliana]	41.361	NP_176365.1	BAN	AT1G61720
Vitvi10g02192	F6I239	VIT_00s0392g00050	10	3599721	3601366	EEE EEE EEE	NP_851189.1 Protein kiNAse superfamily protein [Arabidopsis thaliana]	60.484	NP_851189.1	CRLK1	AT5G54590
Vitvi10g02195	D7U6K3	VIT_00s0392g00070	10	3620556	3620837	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g02200	D7TRY0	VIT_00s0868g00010	10	3667469	3668782	EEE EEE EEE	NP_191949.1 DNA-binding storekeeper protein-related transcriptioNAl regulator [Arabidopsis thaliana]	36.042	NP_191949.1		AT4G00390
Vitvi10g02201	D7TRY1	VIT_00s0868g00020	10	3662361	3663516	EEE EEE EEE	NP_194453.1 histone H2A 2 [Arabidopsis thaliana]	95.238	NP_194453.1	HTA2	AT4G27230
Vitvi10g02202	F6HRX9	VIT_00s0868g00030	10	3661391	3662355	EEE EEE EEE	NP_193862.1 transmembrane protein, putative (DUF1218) [Arabidopsis thaliana]	56.627	NP_193862.1		AT4G21310
Vitvi10g02211	F6HF62	VIT_01s0011g01580	10	3687261	3688391	EEE EEE EEE	NP_190800.1 F-box and associated interaction domains-containing protein [Arabidopsis thaliana]	24.011	NP_190800.1		AT3G52320
Vitvi10g02212	F6H8B4	VIT_00s0904g00010	10	3688678	3689962	EEE EEE EEE	NP_192427.1 photosystem II subunit Q-2 [Arabidopsis thaliana]	71.429	NP_192427.1	PSBQ-2	AT4G05180
Vitvi10g02215	F6HRV2	VIT_00s0532g00020	10	3694732	3702071	EEE EEE EEE	NP_193859.1 kinesin 1 [Arabidopsis thaliana]	69.576	NP_193859.1	ATK1	AT4G21270
Vitvi10g02216	D7TRU8	VIT_00s0532g00030	10	3702559	3703953	EEE EEE EEE	NP_172620.1 C-termiNAl cysteine residue is changed to a serine 1 [Arabidopsis thaliana]	69.912	NP_172620.1	CXXS1	AT1G11530
Vitvi10g02218	F6HRV4	VIT_00s0532g00050	10	3704338	3708049	EEE EEE EEE	NP_200279.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]	59.833	NP_200279.1	ILR3	AT5G54680
Vitvi10g02219	D7TRV1	VIT_00s0532g00060	10	3708530	3710195	EEE EEE EEE	NP_193857.3 Sulfite exporter TauE/SafE family protein [Arabidopsis thaliana]	56.364	NP_193857.3		AT4G21250
Vitvi10g02220	F6I7G7	VIT_00s0398g00010	10	3715803	3716822	EEE EEE EEE	NP_566697.1 Receptor-like protein kiNAse-related family protein [Arabidopsis thaliana]	30.986	NP_566697.1		AT3G22060
Vitvi10g02222	F6I7G7	VIT_00s0398g00010	10	3722521	3728031	EEE EEE EEE	NP_567679.2 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 10 [Arabidopsis thaliana]	45.964	NP_567679.2	CRK10	AT4G23180
Vitvi10g02225	F6H848	VIT_00s0262g00180	10	3809132	3813598	EEE EEE EEE	NP_192429.1 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 25 [Arabidopsis thaliana]	43.077	NP_192429.1	CRK25	AT4G05200
Vitvi10g02227	D7UE53	VIT_00s0398g00060	10	3745271	3770032	EEE EEE EEE	NP_193872.2 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 29 [Arabidopsis thaliana]	48.212	NP_193872.2	CRK29	AT4G21410
Vitvi10g02229	F6H7Y7	VIT_00s0409g00010	10	3775392	3778425	EEE EEE EEE	NP_001329426.1 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 25 [Arabidopsis thaliana]	50.0	NP_001329426.1	CRK25	AT4G05200
Vitvi10g02240	F6H842	VIT_00s0262g00110	10	3880953	3885243	EEE EEE EEE	NP_175505.1 Nucleolar GTP-binding protein [Arabidopsis thaliana]	58.659	NP_175505.1		AT1G50920
Vitvi10g02248	F6I2E2	VIT_00s0748g00020	10	3930018	3930614	EEE EEE EEE	NP_195594.1 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 26 [Arabidopsis thaliana]	38.365	NP_195594.1	CRK26	AT4G38830
Vitvi10g02253	F6HJT9	VIT_00s0880g00010	10	5996775	5997759	EEE EEE EEE	NP_193829.2 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]	51.648	NP_193829.2		AT4G20970
Vitvi10g02255	F6HJU0	VIT_00s0880g00020	10	6006352	6008054	EEE EEE EEE	NP_193830.1 Eukaryotic translation initiation factor 3 subunit 7 (eIF-3) [Arabidopsis thaliana]	79.55	NP_193830.1		AT4G20980
Vitvi10g02256	F6HJS7	VIT_00s0527g00030	10	6019442	6020712	EDE EDE EEE	NP_181017.1 Pollen Ole e 1 allergen and extensin family protein [Arabidopsis thaliana]	54.962	NP_181017.1		AT2G34700
Vitvi10g02257	F6HJS6	VIT_00s0527g00020	10	6028069	6030265	EEE EEE EEE	NP_001117368.1 VQ motif-containing protein [Arabidopsis thaliana]	61.538	NP_001117368.1		AT1G28280
Vitvi10g02267	D7TRX1	VIT_00s0531g00030	10	2905050	2906272	EEE EEE EEE	NP_199582.1 Calcium-dependent lipid-binding (CaLB domain) family protein [Arabidopsis thaliana]	62.805	NP_199582.1		AT5G47710
Vitvi10g02268	D7TRX2	VIT_00s0531g00040	10	2907832	2910101	EEE EEE EEE	NP_565530.1 oxidoreductase, 2OG-Fe(II) oxygeNAse family protein [Arabidopsis thaliana]	69.869	NP_565530.1	ALKBH2	AT2G22260
Vitvi10g02269	F6HRX1	VIT_00s0531g00050	10	2918417	2925733	EEE EEE EEE	NP_974901.2 Thiolase family protein [Arabidopsis thaliana]	80.482	NP_974901.2	AACT1	AT5G47720
Vitvi10g02271	F6H8C3	VIT_00s0956g00030	10	2867812	2870763	EEE EEE EEE	NP_199577.1 Homeodomain-like superfamily protein [Arabidopsis thaliana]	35.981	NP_199577.1		AT5G47660
Vitvi10g02272			10	2871558	2871740	EEE EEE EEE	NP_001031638.1 transmembrane protein [Arabidopsis thaliana]	50.877	NP_001031638.1		AT4G14315
Vitvi10g02273	D7SZ49	LEC1	10	2872107	2874400	EEE EEE EEE	NP_199578.2 nuclear factor Y, subunit B6 [Arabidopsis thaliana]	60.194	NP_199578.2	NF-YB6	AT5G47670
Vitvi10g02282	F6HJJ8	VIT_00s0414g00010	10	2939841	2943012	DEE EEE EEE	NP_175981.2 cellulose synthase like E1 [Arabidopsis thaliana]	57.438	NP_175981.2	CSLE1	AT1G55850
Vitvi10g02283	D7TG11	VIT_00s0414g00020	10	2944601	2948482	EEE EEE UUE	NP_175981.2 cellulose synthase like E1 [Arabidopsis thaliana]	53.987	NP_175981.2	CSLE1	AT1G55850
Vitvi10g02284	F6HJJ9	VIT_00s0414g00030	10	2949391	2999972	DEE EEE EEE	NP_175981.2 cellulose synthase like E1 [Arabidopsis thaliana]	56.528	NP_175981.2	CSLE1	AT1G55850
Vitvi10g02289	D7UEA4	VIT_00s0707g00010	Un	9653962	9654638	DEE EEE EEE	NP_193918.1 HSP20-like chaperones superfamily protein [Arabidopsis thaliana]	56.522	NP_193918.1		AT4G21870
Vitvi10g02293	D7TYZ8	VIT_00s0875g00010	7	21220235	21223838	EEE EEE EEE	NP_001325732.1 Phosphoglycerate mutase family protein [Arabidopsis thaliana]	74.051	NP_001325732.1		AT3G52155
Vitvi10g02295	F6HJU7	VIT_00s0878g00020	10	3191699	3201009	EEE EEE EEE	NP_191311.1 seed imbibition 2 [Arabidopsis thaliana]	51.053	NP_191311.1	SIP2	AT3G57520
Vitvi10g02298	F6I2C9	VIT_00s0454g00030	10	3152730	3167754	EEE EEE EDE	NP_565309.2 Subtilisin-like serine endopeptidase family protein [Arabidopsis thaliana]	56.317	NP_565309.2	AIR3	AT2G04160
Vitvi10g02300	F6I2C9	VIT_00s0454g00030	10	3139543	3143662	EEE EEE EEE	NP_565309.2 Subtilisin-like serine endopeptidase family protein [Arabidopsis thaliana]	56.568	NP_565309.2	AIR3	AT2G04160
Vitvi10g02302	F6I2C9	VIT_00s0454g00030	10	3146107	3149984	EEE EUE EEE	NP_565309.2 Subtilisin-like serine endopeptidase family protein [Arabidopsis thaliana]	56.199	NP_565309.2	AIR3	AT2G04160
Vitvi10g02306	F6GZ05	VIT_00s0259g00010	10	2631137	2631812	EEE EEE EEE	NP_974559.5 Heavy metal transport/detoxification superfamily protein [Arabidopsis thaliana]	47.297	NP_974559.5		AT4G16380
Vitvi10g02308	F6HWV9	VIT_00s0753g00020	Un	10041487	10042223	EEE EEE EEE	NP_195876.1 histone H2A 12 [Arabidopsis thaliana]	58.209	NP_195876.1	HTA12	AT5G02560
Vitvi10g02309	F6HWV8	VIT_00s0753g00010	Un	10037252	10037870	EEE EDE EDE	NP_974559.5 Heavy metal transport/detoxification superfamily protein [Arabidopsis thaliana]	60.87	NP_974559.5		AT4G16380
Vitvi10g02322	F6GZ95	VIT_00s0347g00060	10	4240521	4270757	EEE EEE EEE	NP_172600.1 S-locus lectin protein kiNAse family protein [Arabidopsis thaliana]	45.867	NP_172600.1		AT1G11330
Vitvi10g02328	A5ARZ7	VIT_00s0347g00030	10	4301311	4302286	EEE EEE EEE	NP_194461.1 B-box type zinc finger family protein [Arabidopsis thaliana]	37.557	NP_194461.1	BBX28	AT4G27310
Vitvi10g02333	F6I2B4	VIT_00s0480g00010	10	5388415	5392094	EEE EEE EEE	NP_001323349.1 Hydroxyproline-rich glycoprotein family protein [Arabidopsis thaliana]	64.011	NP_001323349.1		AT1G61080
Vitvi10g02334	D7U6S7	VIT_00s0480g00020	10	5393300	5394701	EEE EEE EEE	NP_001323349.1 Hydroxyproline-rich glycoprotein family protein [Arabidopsis thaliana]	56.566	NP_001323349.1		AT1G61080
Vitvi10g02336	F6I2B7	VIT_00s0480g00060	10	5415724	5417549	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g02340	D7U6X4	VIT_00s0800g00010	10	5534534	5535889	EEE EEE EDE	NP_176300.1 alpha 1,4-glycosyltransferase family protein [Arabidopsis thaliana]	59.355	NP_176300.1		AT1G61050
Vitvi10g02342	D7TYW0	VIT_00s0370g00010	10	5373844	5379237	EEE EEE EEE	NP_566341.1 Protein kiNAse superfamily protein [Arabidopsis thaliana]	61.834	NP_566341.1		AT3G09010
Vitvi10g02343	F6HWS4	VIT_00s0370g00020	10	5370243	5373290	EEE EEE EEE	NP_565484.1 Clathrin light chain protein [Arabidopsis thaliana]	57.396	NP_565484.1		AT2G20760
Vitvi10g02344	D7TYW3	VIT_00s0370g00040	10	5357623	5363933	EEE EEE EEE	NP_193898.3 C-termiNAl domain phosphatase-like 1 [Arabidopsis thaliana]	64.987	NP_193898.3	CPL1	AT4G21670
Vitvi10g02345	D7TYW4	VIT_00s0370g00050	10	5234416	5247029	EEE EEE EEE	NP_172573.2 WAPL (Wings apart-like protein regulation of heterochromatin) protein [Arabidopsis thaliana]	49.447	NP_172573.2		AT1G11060
Vitvi10g02346	D7TYW5	VIT_00s0370g00060	10	5247816	5249431	EEE EEE EEE	NP_567228.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana]	36.364	NP_567228.1		AT4G02340
Vitvi10g02348	F6HWS5	VIT_00s0370g00090	10	5261375	5263525	EEE EEE EEE	NP_176299.1 plus-3 domain-containing protein [Arabidopsis thaliana]	65.098	NP_176299.1	VIP5	AT1G61040
Vitvi10g02353	D7SYX9	VIT_00s0285g00020	Un	4170914	4172677	EEE EEE EEE	NP_001320727.1 CBL-interacting protein kiNAse 23 [Arabidopsis thaliana]	60.256	NP_001320727.1	CIPK23	AT1G30270
Vitvi10g02362	D7SYY4	VIT_00s0285g00090	Un	4284128	4286798	EEE EEE EEE	NP_568935.1 small G protein family protein / RhoGAP family protein [Arabidopsis thaliana]	63.78	NP_568935.1		AT5G61530
Vitvi10g02382	F6I2G5	VIT_00s1274g00010	10	3647098	3660611	EEE EEE EEE	NP_567623.2 Aldolase-type TIM barrel family protein [Arabidopsis thaliana]	74.583	NP_567623.2	HSA32	AT4G21320
Vitvi10g02384	F6I2F9	VIT_00s1321g00010	Un	11841354	11844815	EEE EEE EDE	NP_198430.1 Ankyrin repeat family protein [Arabidopsis thaliana]	31.65	NP_198430.1		AT5G35810
Vitvi10g02386	F6HJV3	VIT_00s1349g00010	10	2927530	2931647	EEE EEE EEE	NP_175981.2 cellulose synthase like E1 [Arabidopsis thaliana]	52.701	NP_175981.2	CSLE1	AT1G55850
Vitvi10g04000	F6H7I2	VIT_10s0116g00070	10	1089	18691	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04004	F6H7J6	VIT_10s0116g00170	10	60332	60855	EEE EEE EEE	NP_567679.2 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 10 [Arabidopsis thaliana]	57.692	NP_567679.2	CRK10	AT4G23180
Vitvi10g04005	F6H2D6	VIT_19s0014g05430	10	112780	113373	EEE EEE EEE	NP_188696.1 Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [Arabidopsis thaliana]	29.255	NP_188696.1	NDR1	AT3G20600
Vitvi10g04006	F6H2D6	VIT_19s0014g05430	10	114130	114627	EEE EEE EEE	NP_188696.1 Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [Arabidopsis thaliana]	28.485	NP_188696.1	NDR1	AT3G20600
Vitvi10g04008			10	162997	165163	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04009			10	300118	300553	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04010	E0CVP3	VIT_10s0116g00990	10	479480	482816	EEE EEE EEE	NP_563728.1 transmembrane protein, putative (DUF1068) [Arabidopsis thaliana]	63.095	NP_563728.1		AT1G05070
Vitvi10g04011	E0CVQ1	VIT_10s0116g01260	10	628768	631173	EEE EEE EEE	NP_568607.1 B-cell receptor-associated 31-like protein [Arabidopsis thaliana]	69.231	NP_568607.1		AT5G42570
Vitvi10g04019			10	820643	822023	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04021	F6H7J1	VIT_10s0116g01580	10	836108	836671	EDE EDE EDE	a match not found in blastP with e-value<0.000001				
Vitvi10g04023	F6H7L5	VIT_10s0116g01660	10	873127	875200	EEE EUE EUE	a match not found in blastP with e-value<0.000001				
Vitvi10g04024	F6H7L8	VIT_10s0116g01700	10	923615	927270	EEE EEE EEE	NP_176395.1 Ubiquitin-like superfamily protein [Arabidopsis thaliana]	84.956	NP_176395.1	ATG8C	AT1G62040
Vitvi10g04026	F6H898	VIT_00s0704g00010	10	1149355	1150586	EEE EEE EEE	NP_192395.1 DERLIN-2.2 [Arabidopsis thaliana]	80.0	NP_192395.1	DER2.2	AT4G04860
Vitvi10g04028	F6GZA6	VIT_00s0411g00050	10	1154526	1156494	EDE EEE EDE	NP_198430.1 Ankyrin repeat family protein [Arabidopsis thaliana]	36.527	NP_198430.1		AT5G35810
Vitvi10g04029	F6GZ19	VIT_00s0228g00060	10	1156599	1162487	EDE EEE EDE	a match not found in blastP with e-value<0.000001				
Vitvi10g04030	F6H6B3	VIT_16s0050g01340	10	1185860	1186576	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04031			10	1187185	1189924	EEE EEE UUE	a match not found in blastP with e-value<0.000001				
Vitvi10g04033			10	1234520	1234789	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04034	F6GZ74	VIT_00s0256g00030	10	1261065	1285172	EEE EEE EEE	NP_198430.1 Ankyrin repeat family protein [Arabidopsis thaliana]	31.313	NP_198430.1		AT5G35810
Vitvi10g04035	F6H6B3	VIT_16s0050g01340	10	1293359	1294821	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04036	F6GZ72	VIT_00s0256g00010	10	1299460	1301433	EEE EEE EEE	NP_198430.1 Ankyrin repeat family protein [Arabidopsis thaliana]	35.648	NP_198430.1		AT5G35810
Vitvi10g04037	D7SSV4	VIT_00s0256g00100	10	1317235	1317510	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04039	D7TR64	VIT_10s0116g00010	10	1478049	1481537	EEE EEE EEE	NP_192395.1 DERLIN-2.2 [Arabidopsis thaliana]	82.32	NP_192395.1	DER2.2	AT4G04860
Vitvi10g04040	F6HRY3	VIT_00s0992g00010	10	1505496	1507397	EEE EEE EEE	NP_193920.1 zinc finger MYND domain protein [Arabidopsis thaliana]	71.825	NP_193920.1		AT4G21890
Vitvi10g04041	F6HEJ3	VIT_19s0090g00280	10	1510283	1516744	EEE EEE EEE	NP_172630.1 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]	62.148	NP_172630.1	RBP45B	AT1G11650
Vitvi10g04042			10	1517618	1522335	EEE EEE EEE	NP_192387.2 mediator 21 [Arabidopsis thaliana]	82.014	NP_192387.2	MED21	AT4G04780
Vitvi10g04043	F6HEJ4	VIT_19s0090g00310	10	1523394	1525571	EED EEE EEE	NP_200101.2 AT hook motif-containing protein [Arabidopsis thaliana]	47.244	NP_200101.2		AT5G52890
Vitvi10g04044	F6H7N8	VIT_10s0116g01920	10	1531303	1532838	DEE EEE DDD	NP_192386.1 ATP binding cassette protein 1 [Arabidopsis thaliana]	79.141	NP_192386.1	ABCI8	AT4G04770
Vitvi10g04045	F6I7H9	VIT_00s0399g00020	10	1540343	1540840	EEE EEE EEE	NP_568905.1 lipid transfer protein 3 [Arabidopsis thaliana]	33.898	NP_568905.1	LTP3	AT5G59320
Vitvi10g04046	F6I7H9	VIT_00s0399g00020	10	1568849	1569515	EEE EEE EEE	NP_001031782.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]	33.929	NP_001031782.1		AT4G33355
Vitvi10g04047			10	1604652	1605210	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04048	F6H3W5	VIT_04s0008g06310	10	1605252	1607750	EEE EEE EEE	NP_564794.1 Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein [Arabidopsis thaliana]	66.624	NP_564794.1	Phox2	AT1G62390
Vitvi10g04049	F6HIF0	ACO2	10	1611216	1612960	EEE EEE EEE	NP_171994.1 ethylene-forming enzyme [Arabidopsis thaliana]	75.776	NP_171994.1	EFE	AT1G05010
Vitvi10g04050	F6HIE9	VIT_12s0059g01370	10	1626520	1627212	EEE EEE EEE	NP_680579.2 RING/U-box superfamily protein [Arabidopsis thaliana]	44.348	NP_680579.2		AT4G03965
Vitvi10g04051	F6HT52	VIT_02s0012g02050	10	1628974	1632277	EEE EEE EEE	NP_192311.1 fibrillin [Arabidopsis thaliana]	64.22	NP_192311.1	FIB	AT4G04020
Vitvi10g04052	D7TR06	VIT_03s0110g00080	10	1635624	1641757	EEE EDE EEE	NP_001325956.1 Ankyrin repeat family protein [Arabidopsis thaliana]	24.648	NP_001325956.1		AT3G18670
Vitvi10g04053	D7TU24	VIT_03s0017g00100	10	1645258	1652739	EEE EEE EEE	NP_198430.1 Ankyrin repeat family protein [Arabidopsis thaliana]	29.965	NP_198430.1		AT5G35810
Vitvi10g04054	D7TR06	VIT_03s0110g00080	10	1654070	1664934	EDE EEE DEE	NP_198430.1 Ankyrin repeat family protein [Arabidopsis thaliana]	31.923	NP_198430.1		AT5G35810
Vitvi10g04056	F6GZ19	VIT_00s0228g00060	10	1727678	1728689	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04057	D7SSL6	VIT_00s0228g00010	10	1734834	1737303	EEE EEE EEE	NP_198430.1 Ankyrin repeat family protein [Arabidopsis thaliana]	30.233	NP_198430.1		AT5G35810
Vitvi10g04060	F6HDE7	VIT_00s2704g00010	10	1779977	1780231	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04062			10	1848265	1848540	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04063	F6HRV9	VIT_00s0515g00010	10	1906745	1909864	EEE EEE EEE	NP_193961.3 carboxylesterase [Arabidopsis thaliana]	70.616	NP_193961.3	SOBER1	AT4G22300
Vitvi10g04064	F6HRV9	VIT_00s0515g00010	10	1913405	1916845	EEU EEE EEE	NP_193961.3 carboxylesterase [Arabidopsis thaliana]	71.486	NP_193961.3	SOBER1	AT4G22300
Vitvi10g04065			10	1929757	1930522	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04066	F6HRW0	VIT_00s0515g00020	10	1931420	1934113	EEE EEE EEE	NP_199673.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]	31.505	NP_199673.1		AT5G48620
Vitvi10g04067	F6GSR4	VIT_17s0000g08240	10	1938516	1941674	EEE EEE EEE	NP_176430.2 Protein kiNAse superfamily protein [Arabidopsis thaliana]	81.283	NP_176430.2	HT1	AT1G62400
Vitvi10g04068	A5AF64	VIT_11s0052g00020	10	1948660	1953451	EEE EEE EEE	NP_193960.2 Ubiquitin-specific protease family C19-related protein [Arabidopsis thaliana]	65.639	NP_193960.2		AT4G22290
Vitvi10g04069	F6HTD3	VIT_02s0012g00410	10	1954173	1956787	EEE EEE EEE	NP_567300.1 indole-3-butyric acid response 1 [Arabidopsis thaliana]	77.381	NP_567300.1	IBR1	AT4G05530
Vitvi10g04070	D7TYX9	VIT_00s0516g00010	10	1965062	1966996	EEE EEE EEE	NP_001325873.1 RPM1 interacting protein 4 [Arabidopsis thaliana]	34.348	NP_001325873.1	RIN4	AT3G25070
Vitvi10g04071	F6I7H9	VIT_00s0399g00020	10	1969499	1970413	EEE EEE EDE	NP_568905.1 lipid transfer protein 3 [Arabidopsis thaliana]	33.898	NP_568905.1	LTP3	AT5G59320
Vitvi10g04072	F6I7H9	VIT_00s0399g00020	10	1974089	1974761	EEE EEE EEE	NP_001031782.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]	33.929	NP_001031782.1		AT4G33355
Vitvi10g04073	F6HD81	VIT_00s0598g00040	10	1979247	1979776	EEE EEE EEE	NP_193963.2 golgin family A protein [Arabidopsis thaliana]	57.5	NP_193963.2		AT4G22320
Vitvi10g04074	F6HIG2	VIT_12s0059g01640	10	1987340	1988312	EEU EEE EEE	NP_176432.2 DUF506 family protein (DUF506) [Arabidopsis thaliana]	41.502	NP_176432.2		AT1G62420
Vitvi10g04075	D7SNJ4	VIT_05s0029g01210	10	1991524	1996512	EEE EEE EEE	NP_567660.1 Alkaline phytoceramidase (aPHC) [Arabidopsis thaliana]	81.176	NP_567660.1	ATCES1	AT4G22330
Vitvi10g04076			10	2012572	2013159	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04077	D7TRJ7	VIT_00s0187g00340	10	2099503	2103402	EEE EEE EEE	NP_172669.2 fumarylacetoacetase [Arabidopsis thaliana]	79.942	NP_172669.2		AT1G12050
Vitvi10g04078	F6HRM4	VIT_00s0187g00260	10	2116920	2118038	EEE EEE EDE	NP_190765.1 acyl-CoA sterol acyl transferase 1 [Arabidopsis thaliana]	44.957	NP_190765.1	ASAT1	AT3G51970
Vitvi10g04079	F6HRM3	VIT_00s0187g00250	10	2128893	2129795	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi10g04080	F6HEL7	VIT_19s0090g01470	10	2138683	2139084	EEE EEE EEE	NP_001032078.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]	38.776	NP_001032078.1		AT5G55410
Vitvi10g04081	D7TRI7	VIT_00s0187g00230	10	2139343	2141619	EEE EEE EEE	NP_001328581.1 transmembrane protein [Arabidopsis thaliana]	44.444	NP_001328581.1		AT4G22370
Vitvi10g04082	A5BZU9	VIT_00s0187g00170	10	2143612	2152122	EEE EEE EEE	NP_192996.1 ER membrane protein complex subunit-like protein (Protein of unknown function DUF106, transmembrane) [Arabidopsis thaliana]	87.755	NP_192996.1		AT4G12590
Vitvi10g04083	F6HEL7	VIT_19s0090g01470	10	2175767	2176168	EEE EEE EEE	NP_001032078.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]	38.776	NP_001032078.1		AT5G55410
